번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(x),좌표정보(y),위생업태명,남성종사자수,여성종사자수,영업장주변구분명,등급구분명,급수시설구분명,총직원수,본사직원수,공장사무직직원수,공장판매직직원수,공장생산직직원수,건물소유구분명,보증액,월세액,다중이용업소여부,시설총규모,전통업소지정번호,전통업소주된음식,홈페이지
59,일반음식점,07_24_04_P,3070000,3070000-101-2023-00323,9/22/23,,03,폐업,02,폐업,10/15/23,,,,,3.3,136-719,서울특별시 성북구 길음동 20-1 현대백화점미아점,"서울특별시 성북구 동소문로 315, 현대백화점미아점 지하1층 (길음동)",02730,허니탕후루,10/16/23 4:15,U,10/18/23 2:40,기타,202466.8011,456227.5717,기타,0,0,,,,0,0,0,0,0,,0,0,N,3.3,,,
60,일반음식점,07_24_04_P,3990000,3990000-101-2023-00606,9/22/23,,03,폐업,02,폐업,10/18/24,,,,,502.78,472-501,"경기도 남양주시 별내동 1082 108,109,110,111,112,113,114,115,116,117호","경기도 남양주시 별내5로5번길 54, 108,109,110,111,112,113,114,115,116,117호 1층 (별내동)",12102,국보1호한우,10/18/24 11:38,U,10/20/24 2:40,한식,210084.1577,461100.8817,한식,0,0,,,상수도전용,0,0,0,0,0,,0,0,N,502.78,,,
61,일반음식점,07_24_04_P,4810000,4810000-101-2023-00419,11/27/23,,03,폐업,02,폐업,8/22/24,,,,,32.3,550-240,전라남도 여수시 미평동 724-1,전라남도 여수시 양지2길 16-4 (미평동),59624,가막향,8/22/24 16:33,U,8/24/24 2:40,한식,264313.3138,141672.3782,한식,0,0,,,,0,0,0,0,0,,0,0,N,32.3,,,
62,일반음식점,07_24_04_P,3330000,3330000-101-2023-00525,11/27/23,,03,폐업,02,폐업,12/3/23,,,,,,612-704,부산광역시 해운대구 우동 1500 벡스코,"부산광역시 해운대구 APEC로 55, 벡스코 제1전시장동 2홀호 (우동)",48060,프렌치(2023 국제주류 & 와인 박람회),12/4/23 4:15,U,12/6/23 2:40,기타,394482.1392,187606.0354,기타,0,0,,,,0,0,0,0,0,,0,0,N,0,,,
63,일반음식점,07_24_04_P,3200000,3200000-101-2023-00590,11/27/23,,03,폐업,02,폐업,4/22/24,,,,,15,151-823,서울특별시 관악구 봉천동 891-26,"서울특별시 관악구 양녕로2길 9, 1층 (봉천동)",08748,PS푸드,4/22/24 11:23,U,4/24/24 2:40,한식,195264.3055,442361.5591,한식,0,0,,,상수도전용,0,0,0,0,0,,0,0,N,15,,,
64,일반음식점,07_24_04_P,3540000,3540000-101-2023-00319,11/27/23,,03,폐업,02,폐업,8/5/24,,,,,100.24,403-816,인천광역시 부평구 부평동 18-2,"인천광역시 부평구 길주남로 40, 1층 (부평동)",21356,신머이쌀국수,8/6/24 9:10,U,8/8/24 2:40,"외국음식전문점(인도,태국등)",175684.3543,444722.9391,"외국음식전문점(인도,태국등)",0,0,,,상수도전용,0,0,0,0,0,,0,0,N,100.24,,,
65,일반음식점,07_24_04_P,3620000,3620000-101-2023-00454,12/4/23,,03,폐업,02,폐업,7/18/24,,,,,247.47,500-801,광주광역시 북구 각화동 724 더샵 광주 포레스트 301동 B101호,"광주광역시 북구 동문대로249번길 12, 301동 1층 B101호 (각화동, 더샵 광주 포레스트)",61135,한양화로광주각화점,7/18/24 16:52,U,7/20/24 2:40,한식,,,한식,0,0,,,,0,0,0,0,0,,0,0,N,247.47,,,
66,일반음식점,07_24_04_P,5130000,5130000-101-2023-00371,11/24/23,,03,폐업,02,폐업,12/22/23,,,,,0,712-050,경상북도 경산시 사정동 84-1 펌프업스튜디오,"경상북도 경산시 중앙로2길 8, 펌프업스튜디오 (사정동)",38684,우윳집,12/23/23 4:15,U,12/25/23 2:40,기타,356074.0099,259123.2165,기타,0,0,,,,0,0,0,0,0,,0,0,N,0,,,
67,일반음식점,07_24_04_P,3520000,3520000-101-2023-00666,11/20/23,,03,폐업,02,폐업,5/30/24,,,,,45.79,406-081,인천광역시 연수구 송도동 8-21 송도타임스페이스,"인천광역시 연수구 하모니로 158, 송도타임스페이스 D-137호 (송도동)",21998,사공구,5/30/24 17:08,U,6/1/24 2:40,한식,168216.5778,431393.912,한식,0,0,,,,0,0,0,0,0,,0,0,N,45.79,,,
68,일반음식점,07_24_04_P,3520000,3520000-101-2023-00665,11/20/23,,03,폐업,02,폐업,9/25/24,,,,,48.56,406-081,인천광역시 연수구 송도동 23-5 송도센트럴파크푸르지오,"인천광역시 연수구 센트럴로 160, 판매시설동 184호 (송도동, 송도센트럴파크푸르지오)",22003,라이언클럽(Lion club),9/25/24 14:25,U,9/27/24 2:40,기타,168405.6959,432336.1145,기타,0,0,,,,0,0,0,0,0,,0,0,N,48.56,,,
